Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C15",0603,2,100n,C14663
"C11, C5, C8, C9",0603,4,100n, C14663
"C12, C13, C16, C17, C23, C3",0603,6,10u,C19702
"C14, C2",0603,2,2.2u, C23630
"C19, C22, C24, C25",0603,4,10u,C19702 
"C21, C4",0603,2,1u,C5673
"C27, C28, C29, C30, C31, C32",0603,6,22u,C59461
"C6, C7",0603,2,10u,  C19702
"D1, D2, D4, D5",0603,4,LED,C2286
D3,0603,1,Red,C2286
J1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02_Pin,
J3,PinHeader_2x16_P2.54mm_Vertical,1,Conn_02x16_Odd_Even,
J4,USB-C-SMD_TYPE-602-T3,1,USB_C_Receptacle_PowerOnly_6P,C2927028
"JP10, JP15, JP17, JP18, JP19, JP20, JP21, JP22, JP23, JP24, JP25, JP26, JP9",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,13,Jumper_2_Small_Open,
"L1, L2",1008,2,2.2u, C5832372
R10,0603,1,56k,C23206
R11,0603,1,82k,C23254
"R12, R22, R23, R8, R9",0603,5,0.22,C3013347
R13,0805,1,5k6,C4382
"R14, R16, R19, R20, R28, R5",0603,6,1k,C21190
"R2, R32, R33",0603,3,510k,C23192
"R24, R27",0603,2,4.7k,C23162
R25,0603,1,1k8,C4177
R29,0805,1,6k8,C17772
"R30, R31, R34, R6",0805,4,10k,C17414
R4,0805,1,470k,C17709
R7,0805,1,8.2k,C17828
SW1,SW-TH_1MS1T1B1M1QES-5,1,SW_Nidec_CAS-120A1,C496154
"TP19, TP2, TP20, TP21, TP22, TP24, TP25, TP3, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP4, TP40",TestPoint_Pad_D1.0mm,18,TestPoint,
U1,IC_DRV8833PWPR,1,DRV8833PWPR,C50506
"U10, U11",TPS63020DSJR,2,TPS63020,C15483
U13,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,1,CH224K,C970725
U2,INA219AIDCNR,1,INA219AxDCN,C87469
"U3, U5",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,2,TPS22917DBV, C2681320
U4,IC_DRV8833PWPR,1,DRV8833PWP,C50506
U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,TS5A3159ADBVR,C128405
U9,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056-42-ESOP8,C16581
